,Code,GeoFips,TimePeriod,CL_UNIT,UNIT_MULT,DataValue,City,State_id,Zip,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
5,CAINC1-1,01013,2015,Thousands of dollars,3,"698,398",Butler,AL,36904,32.097363,-88.22646999999999,-6,1,32.097363
15,CAINC1-1,01019,2015,Thousands of dollars,3,"869,402",Cherokee,AL,35616,34.748498,-87.9986,-6,1,34.748498
25,CAINC1-1,01027,2015,Thousands of dollars,3,"420,625",Clay,AL,35048,33.544622,-86.929208,-6,1,33.544622
50,CAINC1-1,01043,2015,Thousands of dollars,3,"3,045,398",Cullman,AL,35055,34.167893,-86.82506,-6,1,34.167893
75,CAINC1-1,01051,2015,Thousands of dollars,3,"3,122,664",Elmore,AL,36025,32.538878000000004,-86.33358,-6,1,32.538878000000004
85,CAINC1-1,01057,2015,Thousands of dollars,3,"540,118",Fayette,AL,35555,33.681768,-87.83026,-6,1,33.681768
95,CAINC1-1,01059,2015,Thousands of dollars,3,"1,003,980",Franklin,AL,36444,31.63857,-87.46772,-6,1,31.63857
105,CAINC1-1,01061,2015,Thousands of dollars,3,"874,807",Geneva,AL,36340,31.043453999999997,-85.87941,-6,1,31.043453999999997
115,CAINC1-1,01069,2015,Thousands of dollars,3,"4,071,631",Houston,AL,35572,34.166779999999996,-87.26526,-6,1,34.166779999999996
125,CAINC1-1,01071,2015,Thousands of dollars,3,"1,792,986",Jackson,AL,36545,31.508231,-87.88346,-6,1,31.508231
135,CAINC1-1,01073,2015,Thousands of dollars,3,"32,467,641",Jefferson,AL,36745,32.414035999999996,-87.898611,-6,1,32.414035999999996
155,CAINC1-1,01089,2015,Thousands of dollars,3,"16,583,563",Madison,AL,35758,34.715065,-86.73964000000001,-6,1,34.715065
175,CAINC1-1,01093,2015,Thousands of dollars,3,"920,517",Marion,AL,36756,32.665966,-87.33889,-6,1,32.665966
395,CAINC1-1,01097,2015,Thousands of dollars,3,"14,990,499",Mobile,AL,36689,30.658865000000002,-88.177975,-6,1,30.658865000000002
785,CAINC1-1,01101,2015,Thousands of dollars,3,"9,230,805",Montgomery,AL,36134,32.233377000000004,-86.208528,-6,1,32.233377000000004
965,CAINC1-1,01111,2015,Thousands of dollars,3,"723,905",Randolph,AL,36792,32.917983,-86.89046,-6,1,32.917983
975,CAINC1-1,01117,2015,Thousands of dollars,3,"10,492,090",Shelby,AL,35143,33.080971000000005,-86.53875,-6,1,33.080971000000005
990,CAINC1-1,01121,2015,Thousands of dollars,3,"2,589,375",Talladega,AL,35161,33.420206,-86.10278199999999,-6,1,33.420206
1050,CAINC1-1,01125,2015,Thousands of dollars,3,"7,406,154",Tuscaloosa,AL,35401,33.193818,-87.56843,-6,1,33.193818
1105,CAINC1-1,04003,2015,Thousands of dollars,3,"4,670,449",Cochise,AZ,85606,32.054694,-109.81342,-7,0,32.054694
1115,CAINC1-1,04013,2015,Thousands of dollars,3,"178,861,076",Maricopa,AZ,85239,32.989261,-112.11505,-7,0,32.989261
1125,CAINC1-1,04017,2015,Thousands of dollars,3,"3,060,673",Navajo,AZ,87328,35.923348,-109.08296000000001,-7,0,35.923348
1135,CAINC1-1,04019,2015,Thousands of dollars,3,"39,426,771",Pima,AZ,85543,32.90375,-109.84995,-7,0,32.90375
1165,CAINC1-1,04027,2015,Thousands of dollars,3,"6,435,455",Yuma,AZ,85367,32.654701,-114.40883999999998,-7,0,32.654701
1205,CAINC1-1,05007,2015,Thousands of dollars,3,"19,891,875",Benton,AR,72018,34.597345000000004,-92.622857,-6,1,34.597345000000004
1225,CAINC1-1,05011,2015,Thousands of dollars,3,"388,456",Bradley,AR,71826,33.102083,-93.67371999999999,-6,1,33.102083
1235,CAINC1-1,05025,2015,Thousands of dollars,3,"302,494",Cleveland,AR,72030,35.423473,-92.67942,-6,1,35.423473
1260,CAINC1-1,05029,2015,Thousands of dollars,3,"767,205",Conway,AR,72035,35.105306,-92.354915,-6,1,35.105306
