id,state,census,estimates_base,Latitude,Longitude
1,.Alabama,4779736,4780118,32.806671,-86.79113
2,.Alaska,710231,710246,61.370716,-152.404419
3,.Arizona,6392017,6392292,33.729759,-111.431221
4,.Arkansas,2915918,2916029,34.969704,-92.373123
5,.California,37253956,37254522,36.116203,-119.681564
6,.Colorado,5029196,5029319,39.059811,-105.311104
7,.Connecticut,3574097,3574151,41.597782,-72.755371
8,.Delaware,897934,897947,39.318523,-75.507141
9,.District of Columbia,601723,601767,38.897438,-77.026817
10,.Florida,18801310,18804589,27.766279,-81.686783
11,.Georgia,9687653,9688737,33.040619,-83.643074
12,.Hawaii,1360301,1360304,21.094318,-157.498337
13,.Idaho,1567582,1567658,44.240459,-114.478828
14,.Illinois,12830632,12831572,40.349457,-88.986137
15,.Indiana,6483802,6484050,39.849426,-86.258278
16,.Iowa,3046355,3046877,42.011539,-93.210526
17,.Kansas,2853118,2853120,38.5266,-96.726486
18,.Kentucky,4339367,4339330,37.66814,-84.670067
19,.Louisiana,4533372,4533500,31.169546,-91.867805
20,.Maine,1328361,1328354,44.693947,-69.381927
21,.Maryland,5773552,5773787,39.063946,-76.802101
22,.Massachusetts,6547629,6547788,42.230171,-71.530106
23,.Michigan,9883640,9884112,43.326618,-84.536095
24,.Minnesota,5303925,5303933,45.694454,-93.900192
25,.Mississippi,2967297,2968129,32.741646,-89.678696
26,.Missouri,5988927,5988941,38.456085,-92.288368
27,.Montana,989415,989400,46.921925,-110.454353
28,.Nebraska,1826341,1826311,41.12537,-98.268082
29,.Nevada,2700551,2700683,38.313515,-117.055374
30,.New Hampshire,1316470,1316457,43.452492,-71.563896
31,.New Jersey,8791894,8791959,40.298904,-74.521011
32,.New Mexico,2059179,2059199,34.840515,-106.248482
33,.New York,19378102,19378117,42.165726,-74.948051
34,.North Carolina,9535483,9535762,35.630066,-79.806419
35,.North Dakota,672591,672575,47.528912,-99.784012
36,.Ohio,11536504,11536763,40.388783,-82.764915
37,.Oklahoma,3751351,3751582,35.565342,-96.928917
38,.Oregon,3831074,3831083,44.572021,-122.070938
39,.Pennsylvania,12702379,12702891,40.590752,-77.209755
40,.Rhode Island,1052567,1052970,41.680893,-71.51178
41,.South Carolina,4625364,4625358,33.856892,-80.945007
42,.South Dakota,814180,814198,44.299782,-99.438828
43,.Tennessee,6346105,6346281,35.747845,-86.692345
44,.Texas,25145561,25146072,31.054487,-97.563461
45,.Utah,2763885,2763891,40.150032,-111.862434
46,.Vermont,625741,625727,44.045876,-72.710686
47,.Virginia,8001024,8001046,37.769337,-78.169968
48,.Washington,6724540,6724540,47.400902,-121.490494
49,.West Virginia,1852994,1853008,38.491226,-80.954453
50,.Wisconsin,5686986,5687285,44.268543,-89.616508
51,.Wyoming,563626,563775,42.755966,-107.30249
