city,state_id,state_name,lat,lng
New York,NY,New York,40.69430,-73.92490
Los Angeles,CA,California,34.11390,-118.40680
Chicago,IL,Illinois,41.83730,-87.68620
Miami,FL,Florida,25.78390,-80.21020
Dallas,TX,Texas,32.79360,-96.76620
Philadelphia,PA,Pennsylvania,40.00770,-75.13390
Houston,TX,Texas,29.78630,-95.38890
Atlanta,GA,Georgia,33.76270,-84.42240
Washington,DC,District of Columbia,38.90470,-77.01630
Boston,MA,Massachusetts,42.31880,-71.08460
Phoenix,AZ,Arizona,33.57220,-112.08910
Seattle,WA,Washington,47.62110,-122.32440
San Francisco,CA,California,37.75620,-122.44300
Detroit,MI,Michigan,42.38340,-83.10240
San Diego,CA,California,32.83120,-117.12250
Minneapolis,MN,Minnesota,44.96350,-93.26780
Tampa,FL,Florida,27.99420,-82.44510
Denver,CO,Colorado,39.76210,-104.87590
Brooklyn,NY,New York,40.65010,-73.94960
Queens,NY,New York,40.74980,-73.79760
Riverside,CA,California,33.93810,-117.39480
Baltimore,MD,Maryland,39.30510,-76.61440
Las Vegas,NV,Nevada,36.23330,-115.26540
Portland,OR,Oregon,45.53720,-122.65000
San Antonio,TX,Texas,29.46580,-98.52530
St. Louis,MO,Missouri,38.63580,-90.24510
Sacramento,CA,California,38.56670,-121.46830
Orlando,FL,Florida,28.47720,-81.33690
San Jose,CA,California,37.30190,-121.84860
Cleveland,OH,Ohio,41.47670,-81.68040
Pittsburgh,PA,Pennsylvania,40.43960,-79.97620
Austin,TX,Texas,30.30040,-97.75220
Cincinnati,OH,Ohio,39.14130,-84.50610
Kansas City,MO,Missouri,39.12390,-94.55410
Manhattan,NY,New York,40.78340,-73.96620
Indianapolis,IN,Indiana,39.77710,-86.14580
Columbus,OH,Ohio,39.98620,-82.98500
Charlotte,NC,North Carolina,35.20800,-80.83040
Virginia Beach,VA,Virginia,36.73350,-76.04350
Bronx,NY,New York,40.85010,-73.86620
Milwaukee,WI,Wisconsin,43.06420,-87.96730
Providence,RI,Rhode Island,41.82300,-71.41870
Jacksonville,FL,Florida,30.33220,-81.67490
Salt Lake City,UT,Utah,40.77770,-111.93060
Nashville,TN,Tennessee,36.17150,-86.78430
Richmond,VA,Virginia,37.52950,-77.47560
Memphis,TN,Tennessee,35.10460,-89.97730
Raleigh,NC,North Carolina,35.83250,-78.64350
New Orleans,LA,Louisiana,30.06870,-89.92880
Louisville,KY,Kentucky,38.16630,-85.64850
Oklahoma City,OK,Oklahoma,35.46760,-97.51360
Bridgeport,CT,Connecticut,41.19180,-73.19530
Buffalo,NY,New York,42.90160,-78.84870
Fort Worth,TX,Texas,32.78110,-97.34730
Hartford,CT,Connecticut,41.76610,-72.68340
Tucson,AZ,Arizona,32.15450,-110.87820
Omaha,NE,Nebraska,41.26270,-96.05220
El Paso,TX,Texas,31.84790,-106.43090
Honolulu,HI,Hawaii,21.32940,-157.84600
McAllen,TX,Texas,26.22730,-98.24710
Albuquerque,NM,New Mexico,35.10530,-106.64640
Birmingham,AL,Alabama,33.52770,-86.79870
Sarasota,FL,Florida,27.33860,-82.54310
Dayton,OH,Ohio,39.77970,-84.19980
Rochester,NY,New York,43.16800,-77.61620
Fresno,CA,California,36.78310,-119.79410
Allentown,PA,Pennsylvania,40.59610,-75.47560
